name,location,latitude,longitude,elevation,morphology,status,country,geometry
Crater Lake,Oregon,42.93,-122.12,2487,Caldera,Radiocarbon,United States,POINT (-122.12 42.93)
Craters of the Moon,Idaho,43.42,-113.5,2005,Cinder cone,Radiocarbon,United States,POINT (-113.5 43.42)
Davis Lake,Oregon,43.57,-121.82,2163,Volcanic field,Radiocarbon,United States,POINT (-121.82 43.57)
Devils Garden,Oregon,43.512,-120.861,1698,Volcanic field,Holocene,United States,POINT (-120.861 43.512)
Diamond Craters,Oregon,43.1,-118.75,1435,Volcanic field,Holocene,United States,POINT (-118.75 43.1)
Dotsero,Colorado,39.661,-107.035,2230,Maar,Radiocarbon,United States,POINT (-107.035 39.661)
Glacier Peak,Washington,48.112,-121.113,3213,Stratovolcano,Tephrochronology,United States,POINT (-121.113 48.112)
Hell's Half Acre,Idaho,43.5,-112.45,1631,Shield volcano,Radiocarbon,United States,POINT (-112.45 43.5)
Hood,Oregon,45.374,-121.695,3426,Stratovolcano,Historical,United States,POINT (-121.695 45.374)
Indian Heaven,Washington,45.93,-121.82,1806,Shield volcano,Radiocarbon,United States,POINT (-121.82 45.93)
Inyo Craters,California,37.692,-119.02,2629,Lava dome,Radiocarbon,United States,POINT (-119.02 37.692)
Jefferson,Oregon,44.674,-121.8,3199,Stratovolcano,Varve Count,United States,POINT (-121.8 44.674)
Jordan Craters,Oregon,43.147,-117.46,1473,Volcanic field,Holocene,United States,POINT (-117.46 43.147)
Lassen Volcanic Center,California,40.492,-121.508,3187,Stratovolcano,Historical,United States,POINT (-121.508 40.492)
St. Helens,Washington,46.2,-122.18,2549,Stratovolcano,Historical,United States,POINT (-122.18 46.2)
Soda Lakes,Nevada,39.53,-118.87,1251,Lava dome,Pleistocene-Fumarol,United States,POINT (-118.87 39.53)
San Francisco Volcanic Field,Arizona,35.347,-111.678,3850,Cinder cone,Dendrochronology,United States,POINT (-111.678 35.347)
Ubehebe Craters,California,37.02,-117.45,752,Maar,Holocene,United States,POINT (-117.45 37.02)
Uinkaret Field,Arizona,36.38,-113.13,1555,Volcanic field,Holocene,United States,POINT (-113.13 36.38)
Wapi Lava Field,Idaho,42.88,-113.22,1604,Shield volcano,Radiocarbon,United States,POINT (-113.22 42.88)
West Crater,Washington,45.88,-122.08,1329,Volcanic field,Radiocarbon,United States,POINT (-122.08 45.88)
Zuni-Bandera,New Mexico,34.8,-108.0,2550,Volcanic field,Anthropology,United States,POINT (-108 34.8)
Adams,Washington,46.206,-121.49,3742,Stratovolcano,Tephrochronology,United States,POINT (-121.49 46.206)
Salton Buttes,California,33.197,-115.616,-40,Cinder cone,Holocene,United States,POINT (-115.616 33.197)
Bachelor,Oregon,43.979,-121.688,2763,Stratovolcano,Tephrochronology,United States,POINT (-121.688 43.979)
Baker,Washington,48.777,-121.813,3285,Stratovolcano,Historical,United States,POINT (-121.813 48.777)
Belknap,Oregon,44.285,-121.841,2095,Shield volcano,Radiocarbon,United States,POINT (-121.841 44.285)
Black Rock Desert,Utah,38.97,-112.5,1800,Volcanic field,Radiocarbon,United States,POINT (-112.5 38.97)
Blue Lake Crater,Oregon,44.411,-121.774,1230,Maar,Radiocarbon,United States,POINT (-121.774 44.411)
Carrizozo,New Mexico,33.78,-105.93,1731,Cinder cone,Holocene,United States,POINT (-105.93 33.78)
Cinnamon Butte,Oregon,43.241,-122.108,1956,Cinder cone,Holocene,United States,POINT (-122.108 43.241)
Clear Lake,California,38.97,-122.77,1439,Volcanic field,Holocene,United States,POINT (-122.77 38.97)
Markagunt Plateau,Utah,37.58,-112.67,2840,Volcanic field,Dendrochronology,United States,POINT (-112.67 37.58)
Medicine Lake,California,41.611,-121.554,2412,Shield volcano,Radiocarbon,United States,POINT (-121.554 41.611)
Mono-Inyo Craters,California,37.804,-119.029,2796,Lava dome,Radiocarbon,United States,POINT (-119.029 37.804)
Mono Lake Volcanic Field,California,38.0,-119.03,2121,Cinder cone,Tephrochronology,United States,POINT (-119.03 38)
Newberry,Oregon,43.722,-121.229,2434,Shield volcano,Radiocarbon,United States,POINT (-121.229 43.722)
Three Sisters,Oregon,44.133,-121.767,3159,Complex volcano,Radiocarbon,United States,POINT (-121.767 44.133)
Rainier,Washington,46.853,-121.76,4392,Stratovolcano,Dendrochronology,United States,POINT (-121.76 46.853)
Mammoth Mountain,California,37.631,-119.032,3369,Cinder cone,Holocene,United States,POINT (-119.032 37.631)
Sand Mountain Field,Oregon,44.38,-121.93,1664,Cinder cone,Radiocarbon,United States,POINT (-121.93 44.38)
Shasta,California,41.409,-122.193,4317,Stratovolcano,Historical,United States,POINT (-122.193 41.409)
Black Butte Crater Lava Field,Idaho,43.183,-114.352,1478,Cinder cone,Holocene,United States,POINT (-114.352 43.183)
Red Hill,New Mexico,34.25,-108.83,2300,Volcanic field,,United States,POINT (-108.83 34.25)
